iso_code,continent,location,aged_65_older,aged_70_older,diabetes_prevalence,female_smokers,male_smokers,population
KEN,Africa,Kenya,2.686,1.528,2.92,1.2,20.4,54027484
KIR,Oceania,Kiribati,3.895,2.21,22.66,35.9,58.9,131237
OWID_KOS,Europe,Kosovo,,,,,,1782115
KWT,Asia,Kuwait,2.345,1.114,15.84,2.7,37.0,4268886
KGZ,Asia,Kyrgyzstan,4.489,2.882,7.11,3.6,50.5,6630621
LAO,Asia,Laos,4.029,2.322,4.0,7.3,51.2,7529477
LVA,Europe,Latvia,19.754,14.136,4.91,25.6,51.0,1850654
LBN,Asia,Lebanon,8.514,5.43,12.71,26.9,40.7,5489744
LSO,Africa,Lesotho,4.506,2.647,3.94,0.4,53.9,2305826
LBR,Africa,Liberia,3.057,1.756,2.42,1.5,18.1,5302690
LBY,Africa,Libya,4.424,2.816,10.43,,,6812344
LIE,Europe,Liechtenstein,,,7.77,,,39355
LTU,Europe,Lithuania,19.002,13.778,3.67,21.3,38.0,2750058
OWID_LIC,,Low income,,,,,,737604900
OWID_LMC,,Lower middle income,,,,,,3432097300
LUX,Europe,Luxembourg,14.312,9.842,4.42,20.9,26.0,647601
MAC,Asia,Macao,9.798,4.991,,,,695180
MDG,Africa,Madagascar,2.929,1.686,3.94,,,29611718
MWI,Africa,Malawi,2.979,1.783,3.94,4.4,24.7,20405318
MYS,Asia,Malaysia,6.293,3.407,16.74,1.0,42.4,33938216
MDV,Asia,Maldives,4.12,2.875,9.19,2.1,55.0,523798
MLI,Africa,Mali,2.519,1.486,2.42,1.6,23.0,22593598
MLT,Europe,Malta,19.426,11.324,8.83,20.9,30.2,533293
MHL,Oceania,Marshall Islands,,,30.53,,,41593
